,1. Tur Katılım,2. Tur Katılım,Katılım Farkı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen ,Toplam Seçmen Farkı,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,Erdoğan Oy Artışı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı,Kılıçdaroğlu Oy Artışı,İkinci Turda Erdoğan-Kılıçdaroğlu Farkı
Köprübaşı – Trabzon,"84,28","82,71","-1,57",3747,3747,0,2573,2659,86,406,398,-8,2261
Çatalpınar,"89,05","86,35","-2,70",10109,10112,3,7521,7606,85,975,1031,56,6575
Mihalgazi,"93,08","91,96","-1,12",2586,2587,1,1453,1538,85,761,790,29,748
Doğanyol,"82,80","81,19","-1,61",3040,3041,1,1910,1995,85,438,424,-14,1571
Bingöl,"79,87","75,17","-4,70",114157,114252,95,56864,56949,85,27998,26642,-1356,30307
Selçuk,"90,56","87,89","-2,67",30071,30090,19,8329,8413,84,17115,17748,633,-9335
Kemah,"89,62","88,57","-1,05",5407,5408,1,2810,2894,84,1749,1819,70,1075
Dörtdivan,"90,21","88,51","-1,70",5639,5642,3,4363,4446,83,457,485,28,3961
Tercan,"87,59","85,81","-1,78",11363,11375,12,5618,5701,83,3801,3924,-5877,1777
Muratlı,"91,64","89,05","-2,59",23743,23753,10,6905,6987,82,13518,13985,467,-6998
Ahırlı,"88,61","86,42","-2,19",3713,3720,7,2260,2342,82,721,787,66,1555
Kazımkarabekir,"91,23","89,08","-2,15",3239,3241,2,1996,2077,81,663,770,107,1307
Çamoluk,"83,45","83,29","-0,16",5046,5046,0,3600,3680,80,420,476,56,3204
Ovacık – Karabük,"88,47","85,72","-2,75",3347,3347,0,1935,2015,80,743,786,43,1229
Kemer – Burdur,"90,39","88,17","-2,22",2507,2510,3,1435,1515,80,614,654,40,861
Derbent,"93,43","92,70","-0,73",3366,3369,3,2149,2228,79,778,822,44,1406
Polateli,"91,70","88,97","-2,73",3315,3317,2,2239,2318,79,613,591,-22,1727
Adilcevaz,"75,71","68,61","-7,10",18292,18310,18,5800,5879,79,7146,6414,-732,-535
Mahmudiye,"89,68","87,33","-2,35",5861,5862,1,2378,2456,78,2430,2553,123,-97
Hasanbeyli,"90,18","87,92","-2,26",3871,3874,3,2226,2303,77,1001,1042,41,1261
Yedisu,"88,25","90,24","1,99",2264,2265,1,543,620,77,1341,1382,41,-762
Bahşılı,"89,00","84,93","-4,07",203290,203153,-137,3326,3402,76,1315,1382,67,2020
İnönü,"93,84","91,57","-2,27",5230,5230,0,2923,2998,75,1580,1720,140,1278
Fındıklı,"88,69","86,67","-2,02",13243,13253,10,5697,5771,74,5330,5540,210,231
Nurhak,"76,51","74,88","-1,63",8579,8583,4,2187,2260,73,3811,4061,250,-1801
Sason,"78,30","75,13","-3,17",18890,18918,28,8539,8612,73,5276,5341,65,3271
Çemişgezek,"87,36","85,21","-2,15",5801,5804,3,2513,2586,73,2267,2299,32,287
Keban,"90,98","89,41","-1,57",4969,4975,6,3135,3207,72,1129,1173,44,2034
Kıbrıscık,"88,92","86,38","-2,54",2546,2548,2,1028,1100,72,1025,1064,39,36
Kemaliye,"83,18","82,08","-1,10",3697,3699,2,2032,2103,71,850,874,24,1229
İbradi,"88,19","87,87","-0,32",2464,2465,1,978,1048,70,1038,1073,35,-25
Aydıncık – Yozgat,"91,60","89,65","-1,95",7657,7662,5,5388,5457,69,1275,1322,47,4135
Daday,"89,03","84,85","-4,18",6931,6932,1,3539,3607,68,2059,2180,121,1427
