,1. Tur Katılım,2. Tur Katılım,Katılım Farkı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen ,Toplam Seçmen Farkı,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,Erdoğan Oy Artışı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı,Kılıçdaroğlu Oy Artışı,İkinci Turda Erdoğan-Kılıçdaroğlu Farkı
Palandöken,"88,92","84,78","-4,14",122640,122775,135,71745,74253,2508,25691,27913,2222,46340
İzmit,"91,60","88,55","-3,05",275384,275576,192,121266,123757,2491,108853,117047,8194,6710
Yunusemre,"92,60","88,97","-3,63",187783,187917,134,73665,76153,2488,83954,88935,4981,-12782
Antakya,"76,83","74,94","-1,89",213521,213736,215,87203,89677,2474,68862,69031,169,20646
Bartın,"88,65","85,07","-3,58",120714,120738,24,57171,59617,2446,37891,40853,2962,18764
Tokat,"92,50","90,24","-2,26",146087,146035,-52,87391,89801,2410,37571,40268,2697,49533
İlkadım,"89,20","85,83","-3,37",245376,245212,-164,117564,119943,2379,81625,87807,6182,32136
Altındağ,"89,76","86,31","-3,45",294263,294513,250,156144,158521,2377,86646,92279,5633,66242
Yakutiye,"89,75","86,56","-3,19",122984,122590,-394,78698,81056,2358,20649,23312,2663,57744
Kastamonu,"90,06","86,10","-3,96",111460,111355,-105,57156,59489,2333,30985,34681,3696,24808
Yeşilyurt – Malatya,"79,85","77,60","-2,25",212412,212648,236,112676,114977,2301,47067,48053,986,66924
Çukurova,"90,02","87,30","-2,72",287869,288074,205,80467,82626,2159,161389,166526,5137,-83900
Altıeylül,"92,10","88,57","-3,53",140061,140150,89,62408,64520,2112,54755,58117,3362,6403
Üsküdar,"90,88","88,40","-2,48",402615,402766,151,163718,165781,2063,179704,186362,6658,-20581
Adıyaman,"80,22","77,77","-2,45",186863,187051,188,86883,88904,2021,55543,54532,-1011,34372
Manavgat,"89,41","85,32","-4,09",183833,183764,-69,70578,72596,2018,77692,82243,4551,-9647
Elazığ,"86,89","83,17","-3,72",324783,324534,-249,181277,183268,1991,79758,82004,2246,101264
Turhal,"90,75","88,93","-1,82",60802,60860,58,31791,33782,1991,19899,20584,685,13198
Ümraniye,"91,46","88,74","-2,72",534091,534463,372,250158,252143,1985,206839,217062,10223,35081
Ereğli – Zonguldak,"90,91","87,70","-3,21",134736,134823,87,61704,63686,1982,49171,52398,3227,11288
Nevşehir,"91,47","88,44","-3,03",106237,106194,-43,62945,64906,1961,25150,27472,2322,37434
Niğde,"89,04","85,52","-3,52",161579,161852,273,80883,82828,1945,50403,53179,2776,29649
Efeler,"91,00","87,73","-3,27",226258,226267,9,73546,75483,1937,115546,120615,5069,-45132
Tavşanlı,"92,95","90,06","-2,89",78500,78492,-8,48541,50440,1899,17355,18790,1435,31650
Karabük,"89,84","86,39","-3,45",93886,93833,-53,49563,51461,1898,25397,28293,2896,23168
Kartal,"91,69","89,02","-2,67",368489,368700,211,135880,137766,1886,181566,188084,6518,-50318
Atakum,"90,47","86,88","-3,59",170898,171020,122,64149,66027,1878,76415,80765,4350,-14738
Silifke,"90,46","87,50","-2,96",97757,97658,-99,33381,35213,1832,46850,49186,2336,-13973
Akçaabat,"90,46","87,78","-2,68",96125,96184,59,56431,58260,1829,22825,24718,1893,33542
Battalgazi,"80,66","78,84","-1,82",192531,192728,197,117296,119101,1805,30480,31162,682,87939
Kırıkkale,"88,80","84,40","-4,40",144369,144428,59,74647,76397,1750,41387,43748,2361,32649
Amasya,"92,64","90,01","-2,63",107218,107142,-76,53506,55256,1750,37615,39875,2260,15381
Harran,"87,13","89,86","2,73",43635,43710,75,35560,37309,1749,1675,1821,146,35488
Sarıçam,"88,35","85,85","-2,50",149406,147676,-1730,73168,74916,1748,46391,50340,3949,24576
Burdur,"91,48","87,98","-3,50",81578,81556,-22,32452,34160,1708,34639,36470,1831,-2310
Giresun,"89,44","85,96","-3,48",106605,106601,-4,45613,47315,1702,40735,43136,2401,4179
Bafra,"88,91","85,57","-3,34",111410,111334,-76,62353,64053,1700,27836,30043,2207,34010
Elbistan,"78,78","75,75","-3,03",87717,87802,85,42599,44296,1697,20074,21241,1167,23055
Seyhan,"86,98","83,83","-3,15",562326,562782,456,182437,184122,1685,277619,282618,4999,-98496
Akhisar,"92,26","89,24","-3,02",138083,137920,-163,56595,58269,1674,60541,63101,2560,-4832
Erdemli,"91,18","88,04","-3,14",111686,111777,91,51554,53215,1661,41710,43952,2242,9263
Çarşamba,"88,75","85,68","-3,07",106190,106203,13,67608,69265,1657,18743,20535,1792,48730
Soma,"93,13","89,81","-3,32",83443,83512,69,39465,41111,1646,30369,32844,2475,8267
Erbaa,"90,01","87,31","-2,70",74891,74940,49,43896,45542,1646,17154,18867,1713,26675
Erzincan,"91,94","90,05","-1,89",115340,115059,-281,60467,62086,1619,38201,40049,1848,22037
Kilis,"88,34","85,27","-3,07",80895,80728,-167,44824,46431,1607,19697,21386,1689,25045
Salihli,"91,43","88,18","-3,25",128009,127982,-27,45269,46850,1581,62146,64518,2372,-17668
Tuzla,"91,80","89,03","-2,77",207751,207941,190,87903,89483,1580,89376,93899,4523,-4416
Darıca,"91,60","88,53","-3,07",163386,163256,-130,78096,79670,1574,59193,63402,4209,16268
Çankırı,"90,19","86,52","-3,67",65554,65617,63,38988,40550,1562,13477,15300,1823,25250
Maltepe,"91,10","89,20","-1,90",400454,398568,-1886,130750,132304,1554,214282,220186,5904,-87882
Küçükçekmece,"90,34","87,18","-3,16",572709,573172,463,216223,217766,1543,264559,277402,12843,-59636
Serdivan,"91,23","87,94","-3,29",108280,108354,74,52687,54230,1543,36310,39616,3306,14614
Pursaklar,"92,02","88,88","-3,14",115128,115230,102,73057,74551,1494,23311,26287,2976,48264
Mustafakemalpaşa,"92,06","88,91","-3,15",81382,81432,50,37572,39057,1485,29682,32428,2746,6629
Yozgat,"91,10","88,70","-2,40",72596,72119,-477,45001,46474,1473,14787,16487,1700,29987
Beykoz,"91,39","88,82","-2,57",187442,187568,126,87844,89303,1459,71809,75484,3675,13819
Serik,"89,29","85,24","-4,05",101601,101688,87,36425,37884,1459,44760,47613,2853,-9729
Kadıköy,"91,15","89,41","-1,74",389092,389224,132,59284,60734,1450,283482,285217,1735,-224483
Alaşehir,"91,28","87,72","-3,56",78797,78771,-26,33052,34502,1450,31874,33415,1541,1087
Ataşehir,"91,31","88,96","-2,35",318508,318707,199,115946,117392,1446,158578,163811,5233,-46419
Kadirli,"88,68","84,61","-4,07",94684,94744,60,48200,49646,1446,27538,29404,1866,20242
Rize,"89,94","87,30","-2,64",112457,112535,78,73879,75313,1434,19763,21696,1933,53617
Bandırma,"90,84","87,71","-3,13",123239,123025,-214,40684,42095,1411,61756,64723,2967,-22628
Gölbaşı – Ankara,"91,54","88,30","-3,24",106348,106440,92,45423,46811,1388,43393,45958,2565,853
Simav,"91,35","88,98","-2,37",49668,49694,26,29148,30531,1383,11768,12684,916,17847
Sarıyer,"90,41","88,14","-2,27",260603,260743,140,90935,92310,1375,131038,135487,4449,-43177
Akyazı,"93,15","91,10","-2,05",70517,70566,49,50348,51699,1351,10290,11684,1394,40015
Dörtyol,"87,92","84,38","-3,54",88633,88723,90,39858,41207,1349,31059,32511,1452,8696
Şehzadeler,"91,70","88,34","-3,36",121939,121584,-355,49616,50960,1344,52265,55042,2777,-4082
Konyaaltı,"89,11","86,32","-2,79",128269,128363,94,28605,29945,1340,78488,79955,1467,-50010
Akçakale,"86,67","86,71","0,04",58148,58235,87,45340,46646,1306,3637,3557,-80,43089
Turgutlu,"90,98","86,75","-4,23",129403,129498,95,54955,56241,1286,52431,54650,2219,1591
Gölcük,"91,77","88,57","-3,20",131571,131672,101,63411,64694,1283,46642,50498,3856,14196
Çaycuma,"89,70","87,12","-2,58",74393,74453,60,33773,35026,1253,26316,28141,1825,6885
Çumra,"91,97","89,54","-2,43",48545,48594,49,33224,34471,1247,7074,8300,1226,26171
Menemen,"90,03","86,70","-3,33",147757,147335,-422,42036,43282,1246,80485,83113,2628,-39831
Çanakkale,"91,15","88,34","-2,81",146019,145852,-167,36069,37310,1241,87789,90428,2639,-53118
Vezirköprü,"88,53","85,75","-2,78",64759,64783,24,42960,44193,1233,9757,10523,766,33670
Bucak,"92,05","88,69","-3,36",50444,50491,47,26178,27409,1231,15521,16397,876,11012
Beyşehir,"90,35","87,31","-3,04",57730,57772,42,34507,35734,1227,12318,13726,1408,22008
Seydişehir,"91,03","88,22","-2,81",50137,50080,-57,24736,25960,1224,16071,17254,1183,8706
Altınordu,"89,42","85,64","-3,78",175035,175161,126,77523,78742,1219,66286,69499,3213,9243
Bağcılar,"90,51","87,63","-2,88",517237,517688,451,266695,267902,1207,170589,180989,10400,86913
Derince,"91,53","88,60","-2,93",110604,110682,78,51260,52467,1207,40904,44270,3366,8197
Akşehir,"87,42","84,06","-3,36",71819,71775,-44,36181,37383,1202,20445,21928,1483,15455
Hendek,"92,29","89,56","-2,73",65464,65508,44,41030,42219,1189,13990,15686,1696,26533
Ünye,"88,39","85,45","-2,94",100063,100005,-58,59742,60926,1184,21208,23015,1807,37911
Çekmeköy,"91,91","89,32","-2,59",211874,212051,177,94793,95976,1183,87105,91524,4419,4452
Niksar,"89,69","88,26","-1,43",47158,47189,31,24592,25775,1183,14370,15212,842,10563
Safranbolu,"90,80","88,00","-2,80",50614,50656,42,23820,25001,1181,17238,18853,1615,6148
Kozan,"88,21","84,58","-3,63",97522,97500,-22,50487,51661,1174,27313,29628,2315,22033
Kırıkhan,"79,46","81,23","1,77",72698,72774,76,42999,44152,1153,11520,12044,524,32108
Acıpayam,"90,76","88,04","-2,72",44082,44112,30,20761,21908,1147,15157,16131,974,5777
Yüreğir,"84,79","81,87","-2,92",273305,273553,248,110521,111651,1130,105728,109317,3589,2334
Körfez,"90,91","87,38","-3,53",129224,129327,103,59368,60494,1126,47728,50982,3254,9512
Bilecik,"91,48","88,37","-3,11",55756,55728,-28,24026,25151,1125,21459,23348,1889,1803
Süleymanpaşa,"90,72","88,15","-2,57",163757,163075,-682,50341,51436,1095,87567,91036,3469,-39600
Polatlı,"87,47","83,61","-3,86",95629,95717,88,42573,43667,1094,33177,35329,2152,8338
İslahiye,"82,47","80,36","-2,11",44192,44081,-111,20850,21939,1089,12853,12853,0,9086
Ödemiş,"89,47","86,72","-2,75",104587,104436,-151,39653,40732,1079,46061,48553,2492,-7821
Biga,"92,21","89,18","-3,03",72806,72855,49,33708,34780,1072,27634,29431,1797,5349
Nazilli,"89,91","86,24","-3,67",122009,122037,28,44064,45130,1066,55424,58643,3219,-13513
Kartepe,"92,85","90,04","-2,81",100219,100296,77,53331,54387,1056,31606,34615,3009,19772
Derik,"82,35","76,58","-5,77",37156,37213,57,4941,5983,1042,24844,22196,-2648,-16213
Ereğli – Konya,"88,35","84,26","-4,09",110668,110474,-194,51872,52911,1039,36766,38938,2172,13973
Bergama,"91,65","88,50","-3,15",83739,83702,-37,31099,32134,1035,39177,40931,1754,-8797
Bozüyük,"92,92","89,56","-3,36",60356,60411,55,25511,26537,1026,24378,26788,2410,-251
Bornova,"91,10","87,72","-3,38",340235,340456,221,96089,97114,1025,191753,198939,7186,-101825
Boyabat,"88,36","86,01","-2,35",33933,33965,32,19691,20716,1025,7349,7936,587,12780
Türkoğlu,"87,80","86,31","-1,49",47946,47990,44,32504,33529,1025,7018,7427,409,26102
Mut,"90,79","87,76","-3,03",48487,48512,25,21066,22089,1023,18803,19847,1044,2242
Gürsu,"89,32","85,37","-3,95",69483,69534,51,39714,40729,1015,16259,17955,1696,22774
Afşin,"83,19","80,95","-2,24",53147,53199,52,30467,31481,1014,10100,10907,807,20574
Gediz,"91,73","89,62","-2,11",38189,38215,26,22397,23399,1002,9342,10172,830,13227
Fethiye,"90,06","86,63","-3,43",129565,129672,107,41699,42690,991,65921,68444,2523,-25754
Tavas,"90,01","87,74","-2,27",34160,34173,13,15680,16670,990,12014,12701,687,3969
Başakşehir,"90,86","88,22","-2,64",317962,318243,281,151496,152484,988,119903,125373,5470,27111
Yüksekova,"83,83","78,88","-4,95",79950,80070,120,9868,10856,988,53467,51111,-2356,-40255
Nizip,"86,01","83,03","-2,98",95280,95052,-228,51017,52003,986,24937,25813,876,26190
Develi,"89,74","87,35","-2,39",49501,49517,16,31956,32931,975,8640,9738,1098,23193
Sındırgı,"92,39","90,14","-2,25",28138,28149,11,13316,14286,970,10129,10516,387,3770
Bulancak,"90,32","87,49","-2,83",54112,54149,37,30021,30990,969,15175,15806,631,15184
Kızıltepe,"85,57","81,17","-4,40",162156,162330,174,25489,26456,967,109403,103639,-5764,-77183
Terme,"89,23","87,06","-2,17",57367,57420,53,37146,38112,966,10404,11224,820,26888
Tosya,"89,90","87,54","-2,36",32066,32092,26,21627,22592,965,4386,5056,670,17536
Esenler,"91,37","88,94","-2,43",316766,315350,-1416,177137,178094,957,92315,99384,7069,78710
Kandıra,"91,85","92,07","0,22",39395,38473,-922,22505,23458,953,10537,11384,847,12074
Kırşehir,"88,19","84,27","-3,92",109290,109120,-170,48327,49275,948,38872,41354,2482,7921
Erenler,"91,18","88,29","-2,89",66517,66567,50,41385,42332,947,13942,15615,1673,26717
Karşıyaka,"91,72","89,70","-2,02",280303,280423,120,41560,42501,941,204518,207529,3011,-165028
Kula,"91,82","88,67","-3,15",34756,34783,27,17435,18370,935,10982,11863,881,6507
Fatsa,"87,06","83,72","-3,34",96173,96223,50,49321,50252,931,27738,29269,1531,20983
Sorgun,"87,92","85,82","-2,10",57904,57958,54,39807,40727,920,7613,8364,751,32363
Aziziye,"91,15","88,34","-2,81",43435,43481,46,29822,30741,919,6320,7133,813,23608
Menteşe,"91,89","89,08","-2,81",88819,88653,-166,23078,23987,909,51918,53880,1962,-29893
Başiskele,"93,18","90,86","-2,32",82786,82832,46,46933,47839,906,24252,26438,2186,21401
Mudanya,"91,38","88,52","-2,86",87354,87401,47,29447,30338,891,43746,46183,2437,-15845
Sandıklı,"88,15","85,09","-3,06",41723,41751,28,23637,24520,883,9593,10247,654,14273
Çorlu,"90,31","87,14","-3,17",218475,218590,115,66201,67067,866,117923,121813,3890,-54746
Döşemealtı,"90,95","89,16","-1,79",56986,56255,-731,22701,23567,866,24501,25905,1404,-2338
Canik,"88,91","85,66","-3,25",73136,73197,61,44738,45601,863,14743,16326,1583,29275
Gemlik,"90,09","86,44","-3,65",92468,92530,62,38109,38969,860,37581,40087,2506,-1118
Hassa,"84,89","83,25","-1,64",37610,37654,44,22701,23560,859,6738,7215,477,16345
Devrek,"85,45","82,70","-2,75",46102,46129,27,23052,23907,855,12482,13346,864,10561
Gönen – Balıkesir,"91,72","88,53","-3,19",60929,60956,27,26740,27589,849,24095,25766,1671,1823
Pazarcık,"80,79","79,38","-1,41",47001,47044,43,19888,20737,849,15933,16148,215,4589
Yenişehir – Mersin,"88,94","86,02","-2,92",200160,200305,145,43500,44340,840,125414,126523,1109,-82183
Kahta,"85,25","83,26","-1,99",83579,83673,94,55054,55893,839,13411,12743,-668,43150
Kaş,"90,23","87,48","-2,75",47411,47439,28,17624,18459,835,21709,22377,668,-3918
Osmancık,"90,45","88,05","-2,40",33800,33823,23,19908,20743,835,7928,8500,572,12243
Besni,"79,63","77,25","-2,38",52352,52406,54,25032,25866,834,13913,13830,-83,12036
Çayırova,"91,57","88,06","-3,51",107077,107153,76,54046,54879,833,36165,38531,2366,16348
Kars,"83,45","78,09","-5,36",78150,78106,-44,21276,22103,827,37661,38040,379,-15937
Gümüşhane,"87,84","85,42","-2,42",34199,34113,-86,19912,20738,826,7434,7866,432,12872
Kumluca,"91,85","88,79","-3,06",55570,55613,43,24824,25649,825,21557,23035,1478,2614
Bolvadin,"89,80","87,80","-2,00",31637,31526,-111,19645,20466,821,6071,6670,599,13796
Silivri,"90,52","90,72","0,20",151415,146259,-5156,54056,54870,814,74220,76644,2424,-21774
Yenişehir – Bursa,"92,09","89,00","-3,09",42793,42755,-38,20121,20934,813,15231,16599,1368,4335
Hakkari,"86,59","80,41","-6,18",52927,52874,-53,9388,10196,808,34004,31460,-2544,-21264
Toroslar,"88,71","84,82","-3,89",226675,226843,168,81646,82445,799,105645,107770,2125,-25325
Milas,"91,40","87,99","-3,41",116664,116731,67,31549,32346,797,67231,69103,1872,-36757
Bor,"90,15","87,30","-2,85",45418,45469,51,24204,24998,794,13183,14056,873,10942
Yatağan,"93,56","90,97","-2,59",36598,36628,30,11797,12591,794,19405,20060,655,-7469
Suluova,"91,69","89,18","-2,51",36530,36552,22,23037,23830,793,7676,8189,513,15641
Göksun,"83,10","80,76","-2,34",35053,35085,32,20242,21034,792,6383,6837,454,14197
Altınözü,"86,06","85,49","-0,57",38349,38385,36,27467,28257,790,4269,4292,23,23965
Bigadiç,"92,46","89,27","-3,19",37259,37273,14,19227,20010,783,12362,12689,327,7321
Demirci,"91,44","89,32","-2,12",28933,28949,16,17308,18089,781,6737,7203,466,10886
Mezitli,"88,63","85,78","-2,85",157884,157988,104,41229,42006,777,90720,92307,1587,-50301
Anamur,"90,90","87,80","-3,10",52914,52869,-45,19583,20360,777,24591,25271,680,-4911
Aliağa,"91,67","90,84","-0,83",74236,72242,-1994,22900,23675,775,39463,41179,1716,-17504
Çayeli,"89,09","87,98","-1,11",33633,33650,17,23553,24323,770,4481,4912,431,19411
Kağıthane,"90,33","87,45","-2,88",334013,334245,232,151320,152082,762,130514,137578,7064,14504
Çine,"91,84","89,16","-2,68",39758,39784,26,15512,16267,755,17559,18570,1011,-2303
Düziçi,"88,36","84,91","-3,45",59683,59745,62,32605,33355,750,15796,16579,783,16776
Eyüpsultan,"91,27","88,54","-2,73",308926,309147,221,129077,129824,747,135204,141177,5973,-11353
Bayburt,"87,05","85,06","-1,99",46469,46477,8,31055,31801,746,6260,7097,837,24704
Midyat,"77,04","73,96","-3,08",76297,76948,651,30366,31112,746,25606,24455,-1151,6657
Gördes,"91,97","89,16","-2,81",21919,21930,11,11765,12499,734,6353,6587,234,5912
Çivril,"89,00","85,99","-3,01",46338,46369,31,19032,19758,726,18492,19341,849,417
Sinop,"90,26","87,32","-2,94",49981,49910,-71,17132,17857,725,23983,25112,1129,-7255
Gaziemir,"90,88","87,79","-3,09",103524,103598,74,28718,29441,723,58238,60633,2395,-31192
Geyve,"92,41","88,94","-3,47",38189,38208,19,23388,24109,721,8464,9273,809,14836
Karabağlar,"89,78","86,34","-3,44",372086,372357,271,115251,115970,719,197104,202777,5673,-86807
Tekkeköy,"91,25","88,67","-2,58",43343,43368,25,24893,25609,716,11594,12255,661,13354
Ilgın,"89,97","86,16","-3,81",41394,41439,45,23963,24675,712,9526,10307,781,14368
İdil,"76,11","72,02","-4,09",43551,43632,81,7096,7806,710,24613,23015,-1598,-15209
Çan,"94,11","91,57","-2,54",38255,38275,20,17207,17902,695,15705,16693,988,1209
Yalova,"86,62","82,93","-3,69",104681,104701,20,41261,41937,676,41431,43697,2266,-1760
Dursunbey,"91,67","88,87","-2,80",27600,27621,21,18774,19447,673,4189,4625,436,14822
Of,"89,10","87,85","-1,25",34151,34172,21,24310,24983,673,4235,4640,405,20343
Zonguldak,"88,25","84,85","-3,40",89726,89613,-113,34502,35167,665,37874,39631,1757,-4464
İskilip,"88,92","86,06","-2,86",24157,24181,24,15650,16306,656,3733,4071,338,12235
Ergani,"79,92","73,42","-6,50",87937,88016,79,20173,20827,654,46296,42478,-3818,-21651
Ermenek,"87,94","84,48","-3,46",21225,21233,8,9302,9955,653,7046,7533,487,2422
Şuhut,"92,18","90,14","-2,04",27393,27424,31,16758,17410,652,6549,6855,306,10555
Reşadiye,"84,18","83,84","-0,34",22599,22620,21,12886,13538,652,4910,5106,196,8432
Kestel,"90,96","87,92","-3,04",55098,55141,43,27503,28151,648,18217,19749,1532,8402
Artvin,"91,42","89,02","-2,40",25246,25221,-25,9955,10601,646,10906,11482,576,-881
Ulus,"87,97","86,29","-1,68",18392,18399,7,10498,11144,646,4065,4366,301,6778
Ceyhan,"87,74","84,73","-3,01",112582,112656,74,44001,44646,645,48273,49595,1322,-4949
Suruç,"77,68","72,25","-5,43",59936,60046,110,11861,12503,642,32989,30325,-2664,-17822
Kırkağaç,"92,60","89,99","-2,61",30693,30719,26,18083,18723,640,7689,8426,737,10297
Dinar,"88,44","84,98","-3,46",35627,35589,-38,17082,17721,639,11330,11924,594,5797
Aksu – Antalya,"89,56","85,60","-3,96",55724,55766,42,22383,23020,637,22627,24114,1487,-1094
Çubuk,"91,57","88,34","-3,23",69444,69504,60,44878,45514,636,13813,14974,1161,30540
Karacabey,"90,66","86,78","-3,88",65691,65747,56,27927,28562,635,26155,27849,1694,713
Merzifon,"92,14","89,46","-2,68",58663,58702,39,26208,26842,634,23897,25005,1108,1837
Senirkent,"88,68","86,35","-2,33",8555,8559,4,3487,4121,634,2891,3079,188,1042
Gaziosmanpaşa,"90,26","87,31","-2,95",357455,357734,279,175747,176378,631,126073,133122,7049,43256
Yalvaç,"83,67","80,95","-2,72",34757,34752,-5,17017,17647,630,9179,9913,734,7734
Karasu,"88,55","85,69","-2,86",54031,54056,25,30479,31108,629,13636,14692,1056,16416
Gazipaşa,"91,95","88,67","-3,28",41450,41484,34,15248,15877,629,19412,20307,895,-4430
Gölbaşı – Adıyaman,"81,42","79,73","-1,69",33496,33521,25,15818,16446,628,9666,9846,180,6600
Beypazarı,"91,19","87,05","-4,14",37430,37458,28,18928,19554,626,11747,12532,785,7022
Sarıkaya,"79,76","78,21","-1,55",23928,23952,24,14822,15448,626,2718,3023,305,12425
Eğirdir,"90,12","86,58","-3,54",23668,23683,15,11786,12406,620,7188,7670,482,4736
Zile,"91,19","89,41","-1,78",42474,42467,-7,19226,19844,618,17081,17581,500,2263
Bahçelievler,"90,28","87,49","-2,79",425392,425698,306,185639,186256,617,174808,182653,7845,3603
Şırnak,"88,57","84,95","-3,62",60835,60605,-230,16944,17558,614,32924,32689,-235,-15131
Buca,"89,39","85,70","-3,69",393730,393800,70,115905,116517,612,211213,217897,6684,-101380
Kağızman,"75,34","69,59","-5,75",29354,29398,44,9648,10260,612,10703,9844,-859,416
Reyhanlı,"81,69","79,91","-1,78",64674,64752,78,42197,42806,609,7879,8427,548,34379
İvrindi,"94,04","91,97","-2,07",25958,25976,18,14904,15513,609,7427,7902,475,7611
Ürgüp,"90,92","88,62","-2,30",28527,28549,22,14511,15117,606,9195,9803,608,5314
Seydikemer,"90,46","87,28","-3,18",49151,48992,-159,23885,24483,598,16579,17468,889,7015
Halfeti,"72,88","70,97","-1,91",26737,26768,31,7299,7897,598,10978,10750,-228,-2853
Taşova,"89,99","88,13","-1,86",25221,25243,22,13984,14578,594,6823,7258,435,7320
Orhangazi,"91,09","87,73","-3,36",63161,63221,60,28410,29003,593,24022,25691,1669,3312
Vakfıkebir,"89,87","87,55","-2,32",21462,21472,10,12542,13135,593,5131,5362,231,7773
Doğanşehir,"83,93","82,99","-0,94",26684,26709,25,12459,13050,591,8673,8776,103,4274
Çameli,"89,47","86,35","-3,12",14876,14885,9,8364,8950,586,3396,3634,238,5316
Kahramankazan,"91,66","88,27","-3,39",42802,42842,40,24411,24996,585,10847,12157,1310,12839
Sinanpaşa,"90,72","88,07","-2,65",29626,29646,20,18650,19235,585,5760,6294,534,12941
Gerze,"88,14","85,63","-2,51",23102,23110,8,11442,12023,581,6825,7426,601,4597
Akyurt,"91,88","88,86","-3,02",30348,30388,40,19723,20301,578,5620,6296,676,14005
Sungurlu,"90,07","88,00","-2,07",36856,36672,-184,22644,23221,577,8156,8572,416,14649
Banaz,"89,88","86,75","-3,13",27949,27968,19,12095,12671,576,10238,11048,810,1623
Espiye,"87,63","84,19","-3,44",27521,27415,-106,14615,15186,571,7197,7516,319,7670
Yenice – Karabük,"87,85","85,41","-2,44",16521,16529,8,8206,8776,570,4604,4906,302,3870
Ferizli,"91,58","92,36","0,78",21286,20582,-704,12947,13516,569,4727,5241,514,8275
Akdeniz,"89,01","86,20","-2,81",176855,176298,-557,49379,49948,569,100085,100236,151,-50288
Çiğli,"91,50","88,59","-2,91",165743,165853,110,38748,39316,568,103188,106556,3368,-67240
Yeşilli,"90,51","93,99","3,48",8511,8521,10,5468,6035,567,2031,1845,-186,4190
Cizre,"85,68","80,76","-4,92",91528,91677,149,11286,11846,560,63463,60735,-2728,-48889
Şarkîkaraağaç,"87,82","84,76","-3,06",19558,19578,20,9413,9972,559,5840,6169,329,3803
Alaplı,"91,77","88,53","-3,24",33086,33109,23,18176,18733,557,9349,10032,683,8701
Eşme,"89,93","86,58","-3,35",27794,27805,11,9991,10548,557,12840,13104,264,-2556
Çay,"89,13","85,84","-3,29",23230,23250,20,11502,12059,557,7279,7472,193,4587
Orhaneli,"93,81","91,39","-2,42",15599,15607,8,9087,9642,555,3963,4298,335,5344
Tire,"89,79","86,13","-3,66",69165,69211,46,24032,24580,548,32733,34323,1590,-9743
Bahçe,"90,22","88,37","-1,85",16377,16391,14,10381,10929,548,3034,3299,265,7630
Gerede,"92,78","91,98","-0,80",26718,26472,-246,20562,21109,547,2497,2911,414,18198
Yayladağı,"90,82","89,64","-1,18",24676,24705,29,17379,17926,547,3656,3898,242,14028
Emirdağ,"70,42","68,25","-2,17",32693,32721,28,13241,13786,545,7770,8174,404,5612
Kiraz,"88,84","85,97","-2,87",33925,33949,24,15106,15646,540,11971,12906,935,2740
İznik,"91,67","88,46","-3,21",36005,36026,21,16657,17196,539,13469,14236,767,2960
Sarıgöl,"92,26","89,43","-2,83",28227,28238,11,10158,10691,533,13495,14087,592,-3396
Kemalpaşa – Izmir,"91,91","88,55","-3,36",86898,86953,55,37861,38393,532,35620,37639,2019,754
Mazıdağı,"81,30","76,99","-4,31",21968,21998,30,3511,4043,532,13431,12467,-964,-8424
Görele,"85,51","82,94","-2,57",25308,25318,10,12310,12840,530,7612,7842,230,4998
Edremit – Balıkesir,"88,56","85,60","-2,96",135472,135557,85,39941,40469,528,72549,74495,1946,-34026
Taşköprü,"87,72","84,51","-3,21",30851,30872,21,17825,18351,526,6559,7311,752,11040
Akdağmadeni,"79,90","77,90","-2,00",28593,28610,17,17317,17842,525,3777,4127,350,13715
Şile,"92,27","90,19","-2,08",34430,34448,18,15188,15711,523,14285,14986,701,725
Suşehri,"88,79","87,17","-1,62",19399,19417,18,13405,13927,522,2516,2741,225,11186
Arifiye,"92,15","89,00","-3,15",34994,35023,29,21399,21920,521,8016,8794,778,13126
Andırın,"88,52","86,24","-2,28",25641,25668,27,14556,15077,521,6371,6623,252,8454
Aybastı,"83,14","81,30","-1,84",15933,15942,9,9335,9854,519,2638,2825,187,7029
Akkuş,"82,96","79,59","-3,37",17603,17612,9,10386,10904,518,2673,2826,153,8078
Gülnar,"90,73","88,66","-2,07",20515,20529,14,9463,9974,511,7496,7884,388,2090
Köprüköy,"79,92","80,15","0,23",9201,9210,9,5484,5995,511,1418,1262,-156,4733
Pasinler,"89,06","86,58","-2,48",18009,18030,21,12306,12816,510,2558,2577,19,10239
Pervari,"82,30","80,27","-2,03",16655,16692,37,7310,7818,508,5416,5166,-250,2652
Avcılar,"89,30","86,60","-2,70",302475,302705,230,108884,109389,505,145679,150617,4938,-41228
Çermik,"75,95","71,00","-4,95",31759,31788,29,13398,13899,501,9221,8243,-978,5656
Elmalı,"91,68","89,41","-2,27",31087,30910,-177,14112,14612,500,11884,12542,658,2070
Kaynarca,"93,19","91,43","-1,76",18888,18898,10,13101,13601,500,3006,3440,434,10161
Şarkışla,"86,32","84,14","-2,18",27800,27831,31,16594,17094,500,5598,5995,397,11099
Şemdinli,"80,96","74,94","-6,02",27262,27303,41,8058,8557,499,12553,11249,-1304,-2692
